"VendorID","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","RatecodeID","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
2,2020-04-08 11:06:54.000000,2020-04-08 11:10:17.000000,"N",1,42,42,1,0.61,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
2,2020-04-02 16:20:20.000000,2020-04-02 16:43:04.000000,"N",1,41,174,2,10.3,30.5,1,0.5,0,0,,0.3,32.3,2,1,0
2,2020-04-03 17:34:00.000000,2020-04-03 17:50:00.000000,,,130,82,,5.68,13.96,0,0,0,0,,0.3,14.26,,,
2,2020-04-13 08:02:00.000000,2020-04-13 08:12:00.000000,,,51,242,,3.48,14.7,0,0,2.75,0,,0.3,17.75,,,
2,2020-04-06 17:18:08.000000,2020-04-06 17:27:48.000000,"N",1,97,61,1,1.88,9,1,0.5,0,0,,0.3,10.8,2,1,0
2,2020-04-20 01:58:27.000000,2020-04-20 01:58:32.000000,"N",1,82,82,1,0.01,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
2,2020-04-16 23:28:00.000000,2020-04-16 23:56:00.000000,,,42,49,,13.81,39.97,0,0,0,0,,0.3,43.02,,,
2,2020-04-03 17:41:37.000000,2020-04-03 17:58:40.000000,"N",1,159,41,1,2.47,13,1,0.5,0,0,,0.3,14.8,2,1,0
2,2020-04-28 01:34:54.000000,2020-04-28 01:48:36.000000,"N",1,152,74,1,2.46,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2020-04-24 09:15:33.000000,2020-04-24 09:16:48.000000,"N",1,166,166,1,0.4,3.5,0,0.5,1.29,0,,0.3,5.59,1,1,0
2,2020-04-05 09:11:00.000000,2020-04-05 09:24:00.000000,,,123,150,,2.53,14,0,0.5,0,0,,0.3,14.8,,,
2,2020-04-23 19:58:49.000000,2020-04-23 20:08:12.000000,"N",1,75,168,1,3.36,11.5,1,0.5,1.5,0,,0.3,14.8,1,1,0
2,2020-04-22 12:10:13.000000,2020-04-22 12:41:53.000000,"N",1,197,18,1,16.2,45.5,0,0.5,2.75,6.12,,0.3,55.17,1,1,0
2,2020-04-30 17:37:50.000000,2020-04-30 17:46:23.000000,"N",1,75,262,1,1.62,8.5,1,0.5,2.61,0,,0.3,15.66,1,1,2.75
1,2020-04-05 11:38:55.000000,2020-04-05 11:44:04.000000,"N",1,41,152,1,0.8,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
2,2020-04-04 17:10:43.000000,2020-04-04 17:26:14.000000,"N",1,130,92,1,5.89,19,0,0.5,3.96,0,,0.3,23.76,1,1,0
2,2020-04-08 17:10:21.000000,2020-04-08 17:14:02.000000,"N",1,75,74,1,0.82,5,1,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-20 11:40:53.000000,2020-04-20 12:00:01.000000,"N",1,41,87,1,9.49,28.5,0,0.5,3.98,0,,0.3,36.03,1,1,2.75
2,2020-04-02 10:34:33.000000,2020-04-02 10:48:22.000000,"N",1,74,147,1,2.21,11.5,0,0.5,0,0,,0.3,12.3,2,1,0
1,2020-04-19 21:37:14.000000,2020-04-19 22:13:44.000000,"N",1,55,205,1,0,45.2,0,0.5,0,0,,0.3,46,1,1,0
2,2020-04-15 15:54:00.000000,2020-04-15 16:32:00.000000,,,55,119,,24.33,59.45,0,0,2.75,0,,0.3,62.5,,,
2,2020-04-14 05:41:00.000000,2020-04-14 06:07:00.000000,,,91,137,,13.15,41.62,0,0,0,5.76,,0.3,50.43,,,
2,2020-04-30 17:52:22.000000,2020-04-30 18:15:11.000000,"N",1,82,143,1,6.2,21.5,1,0.5,2.6,0,,0.3,28.65,1,1,2.75
2,2020-04-16 11:21:00.000000,2020-04-16 11:39:00.000000,,,169,168,,3.17,11.2,0,0,2.75,0,,0.3,14.25,,,
2,2020-04-08 07:53:00.000000,2020-04-08 08:16:00.000000,,,130,97,,13.1,31.68,0,0,0,0,,0.3,31.98,,,
2,2020-04-30 07:37:00.000000,2020-04-30 07:51:00.000000,,,39,188,,3.01,11.92,0,0,0,0,,0.3,12.22,,,
2,2020-04-24 11:26:00.000000,2020-04-24 11:57:00.000000,,,74,61,,17.17,34.54,0,0,2.75,6.12,,0.3,43.71,,,
2,2020-04-28 08:01:00.000000,2020-04-28 08:07:00.000000,,,97,97,,0.97,10.4,0,0,2.75,0,,0.3,13.45,,,
2,2020-04-11 08:15:00.000000,2020-04-11 08:36:00.000000,,,121,225,,8.95,24.18,0,0,2.75,0,,0.3,27.23,,,
2,2020-04-29 15:24:39.000000,2020-04-29 16:40:55.000000,"N",1,243,48,1,13.28,58.5,0,0.5,2.75,0,,0.3,62.05,1,1,0
2,2020-04-02 18:04:38.000000,2020-04-02 18:28:20.000000,"N",1,75,226,1,8.79,27.5,1,0.5,0,6.12,,0.3,35.42,1,1,0
2,2020-04-10 14:16:30.000000,2020-04-10 14:26:44.000000,"N",1,226,226,1,0.94,8,0,0.5,2.75,0,,0.3,11.55,1,1,0
2,2020-04-16 20:50:00.000000,2020-04-16 21:16:00.000000,,,31,137,,12.54,37.28,0,0,0,0,,0.3,40.33,,,
2,2020-04-12 18:58:42.000000,2020-04-12 19:42:19.000000,"N",1,29,81,1,30.03,82,0,0.5,2.75,6.12,,0.3,91.67,1,1,0
2,2020-04-10 10:25:46.000000,2020-04-10 10:35:24.000000,"N",1,74,24,1,2.39,9.5,0,0.5,3.09,0,,0.3,13.39,1,1,0
2,2020-04-28 00:12:00.000000,2020-04-28 00:32:00.000000,,,82,126,,7.65,26.26,0,0,0,6.12,,0.3,32.68,,,
2,2020-04-11 09:02:00.000000,2020-04-11 09:15:00.000000,,,188,17,,3.31,15.14,0,0,2.75,0,,0.3,18.19,,,
2,2020-04-28 22:32:00.000000,2020-04-28 22:39:00.000000,,,42,159,,1.47,6.85,0,0,0,0,,0.3,7.15,,,
2,2020-04-27 07:28:51.000000,2020-04-27 07:34:41.000000,"N",1,74,75,1,1.46,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
2,2020-04-14 06:01:00.000000,2020-04-14 06:21:00.000000,,,213,152,,6.79,20.23,0,0.5,2.75,0,,0.3,23.78,,,
2,2020-04-02 15:38:38.000000,2020-04-02 15:53:07.000000,"N",1,130,191,1,4.66,15.5,0,0.5,3.26,0,,0.3,19.56,1,1,0
