"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
1,2020-04-13 13:13:51.000000,2020-04-13 13:24:18.000000,1,1.6,1,"N",239,237,1,9,2.5,0.5,2.45,0,0.3,14.75,2.5,
2,2020-04-14 15:10:33.000000,2020-04-14 15:20:39.000000,1,2.45,1,"N",143,229,1,10,0,0.5,3,0,0.3,16.3,2.5,
1,2020-04-06 16:22:33.000000,2020-04-06 16:43:40.000000,1,8.8,1,"N",68,243,2,27.5,3.5,0.5,0,0,0.3,31.8,2.5,
2,2020-04-11 07:00:56.000000,2020-04-11 07:06:24.000000,2,2.33,1,"N",107,140,1,8,0,0.5,2.26,0,0.3,13.56,2.5,
2,2020-04-14 08:47:14.000000,2020-04-14 09:00:57.000000,1,2.41,1,"N",166,244,2,12,0,0.5,0,0,0.3,12.8,0,
2,2020-04-03 20:18:56.000000,2020-04-03 20:37:25.000000,1,11.77,1,"N",137,178,1,32.5,0.5,0.5,0,0,0.3,36.3,2.5,
2,2020-04-13 13:38:35.000000,2020-04-13 13:41:48.000000,1,0.48,1,"N",236,236,2,4,0,0.5,0,0,0.3,7.3,2.5,
2,2020-04-23 09:02:32.000000,2020-04-23 09:07:41.000000,1,0.52,1,"N",263,75,1,5,0,0.5,1.66,0,0.3,9.96,2.5,
2,2020-04-18 18:37:40.000000,2020-04-18 18:40:04.000000,1,0.23,1,"N",238,238,1,3.5,0,0.5,1.7,0,0.3,8.5,2.5,
2,2020-04-06 14:00:17.000000,2020-04-06 14:02:40.000000,1,0.57,1,"N",90,234,1,4,0,0.5,1.46,0,0.3,8.76,2.5,
2,2020-04-17 10:04:08.000000,2020-04-17 10:08:37.000000,1,0.91,1,"N",140,229,1,5.5,0,0.5,1.32,0,0.3,10.12,2.5,
1,2020-04-02 15:06:07.000000,2020-04-02 15:08:17.000000,1,0.3,1,"N",142,142,1,3.5,2.5,0.5,1.35,0,0.3,8.15,2.5,
2,2020-04-26 10:45:43.000000,2020-04-26 10:50:21.000000,1,1.67,1,"N",79,137,1,6.5,0,0.5,2.45,0,0.3,12.25,2.5,
1,2020-04-14 13:30:18.000000,2020-04-14 13:32:01.000000,1,0.5,1,"N",48,48,2,3.5,2.5,0.5,0,0,0.3,6.8,2.5,
2,2020-04-24 17:59:21.000000,2020-04-24 18:01:46.000000,1,0.73,1,"N",107,233,1,4.5,1,0.5,1.76,0,0.3,10.56,2.5,
1,2020-04-02 11:09:07.000000,2020-04-02 11:32:41.000000,1,10.3,1,"N",138,163,2,31.5,2.5,0.5,0,6.12,0.3,40.92,2.5,
2,2020-04-01 20:06:37.000000,2020-04-01 20:12:20.000000,1,0.85,1,"N",239,142,1,6,0.5,0.5,2.94,0,0.3,12.74,2.5,
2,2020-04-24 05:58:20.000000,2020-04-24 06:04:15.000000,5,0.68,1,"N",43,142,1,4.5,0.5,0.5,0,0,0.3,8.3,2.5,
2,2020-04-13 06:37:29.000000,2020-04-13 06:45:03.000000,1,1.88,1,"N",230,137,1,8,0,0.5,2.26,0,0.3,15.51,2.5,
2,2020-04-10 13:54:27.000000,2020-04-10 14:00:11.000000,1,0.6,1,"N",90,113,2,4.5,0,0.5,0,0,0.3,7.8,2.5,
1,2020-04-09 16:02:45.000000,2020-04-09 16:22:23.000000,1,5.6,1,"N",90,112,3,19.5,3.5,0.5,0,0,0.3,23.8,2.5,
1,2020-04-13 11:13:04.000000,2020-04-13 11:18:18.000000,1,1,1,"N",48,233,1,6,2.5,0.5,1,0,0.3,10.3,2.5,
2,2020-04-08 08:08:29.000000,2020-04-08 08:14:47.000000,1,1.26,1,"N",107,170,2,6.5,0,0.5,0,0,0.3,9.8,2.5,
1,2020-04-01 22:26:12.000000,2020-04-01 22:31:40.000000,0,0.8,1,"N",186,246,1,5.5,3,0.5,1,0,0.3,10.3,2.5,
1,2020-04-14 15:30:36.000000,2020-04-14 15:38:54.000000,1,2.8,1,"Y",74,140,1,10.5,2.5,0.5,2,0,0.3,15.8,2.5,
2,2020-04-09 07:45:34.000000,2020-04-09 07:48:21.000000,1,1,1,"N",74,75,2,5,0,0.5,0,0,0.3,5.8,0,
1,2020-04-22 19:18:53.000000,2020-04-22 19:22:39.000000,2,0.7,1,"N",75,74,2,5,1,0.5,0,0,0.3,6.8,0,
1,2020-04-22 15:56:08.000000,2020-04-22 16:11:30.000000,1,4.1,1,"N",262,7,2,15,2.5,0.5,0,0,0.3,18.3,2.5,
1,2020-04-28 10:59:14.000000,2020-04-28 11:02:53.000000,0,0.6,1,"N",141,236,1,4.5,2.5,0.5,1.55,0,0.3,9.35,2.5,
2,2020-04-22 22:29:28.000000,2020-04-22 22:54:31.000000,2,12.21,1,"N",126,80,1,35,0.5,0.5,2.75,6.12,0.3,45.17,0,
1,2020-04-28 16:10:28.000000,2020-04-28 16:24:38.000000,1,3.4,1,"N",236,79,1,13,3.5,0.5,2,0,0.3,19.3,2.5,
1,2020-04-01 08:04:43.000000,2020-04-01 08:08:07.000000,1,1,1,"N",236,238,1,5.5,2.5,0.5,1,0,0.3,9.8,2.5,
2,2020-04-04 19:53:15.000000,2020-04-04 19:58:25.000000,1,2.39,1,"N",137,141,1,8.5,0,0.5,2.95,0,0.3,14.75,2.5,
2,2020-04-10 18:44:30.000000,2020-04-10 18:49:50.000000,1,1.11,1,"N",137,162,1,6,1,0.5,3.09,0,0.3,13.39,2.5,
2,2020-04-06 06:41:09.000000,2020-04-06 06:44:36.000000,1,1.03,1,"N",90,158,1,5,0,0.5,0,0,0.3,8.3,2.5,
1,2020-04-08 13:32:56.000000,2020-04-08 13:50:22.000000,1,5.3,1,"N",236,125,1,17.5,2.5,0.5,4.15,0,0.3,24.95,2.5,
2,2020-04-05 22:40:13.000000,2020-04-05 23:02:58.000000,1,9.23,1,"N",263,17,1,28.5,0.5,0.5,5,0,0.3,37.3,2.5,
1,2020-04-04 12:28:45.000000,2020-04-04 12:39:15.000000,2,2.8,1,"N",48,107,2,11,2.5,0.5,0,0,0.3,14.3,2.5,
2,2020-04-17 11:49:04.000000,2020-04-17 11:51:43.000000,1,0.55,1,"N",42,152,2,4,0,0.5,0,0,0.3,4.8,0,
2,2020-04-19 13:47:49.000000,2020-04-19 13:55:42.000000,6,2.69,1,"N",141,74,1,9.5,0,0.5,1,0,0.3,13.8,2.5,
2,2020-04-06 13:02:56.000000,2020-04-06 13:06:46.000000,1,0.32,1,"N",262,263,2,3.5,0,0.5,0,0,0.3,6.8,2.5,
1,2020-04-29 14:56:24.000000,2020-04-29 15:04:11.000000,1,1.7,1,"N",237,238,2,8,2.5,0.5,0,0,0.3,11.3,2.5,
1,2020-04-07 09:45:45.000000,2020-04-07 09:49:13.000000,1,1,1,"N",249,231,2,5,2.5,0.5,0,0,0.3,8.3,2.5,
1,2020-04-20 11:47:52.000000,2020-04-20 11:52:07.000000,1,0.5,1,"N",151,151,2,4.5,0,0.5,0,0,0.3,5.3,0,
2,2020-04-23 09:54:11.000000,2020-04-23 09:58:08.000000,1,0.86,1,"N",48,170,2,5,0,0.5,0,0,0.3,8.3,2.5,
2,2020-04-04 10:57:51.000000,2020-04-04 11:02:11.000000,1,1.66,1,"N",236,162,2,7,0,0.5,0,0,0.3,10.3,2.5,
2,2020-04-10 04:28:51.000000,2020-04-10 04:35:20.000000,1,1.41,1,"N",147,168,2,7,0.5,0.5,0,0,0.3,8.3,0,
