"dispatching_base_num","pickup_datetime","dropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Affiliated_base_number"
"B01051",2020-04-08 10:40:33.000000,2020-04-08 10:50:24.000000,,212,,"B01051"
"B01312",2020-04-06 03:51:06.000000,2020-04-06 04:03:36.000000,264,181,,"B03177"
"B00647",2020-04-04 11:26:56.000000,2020-04-04 11:31:54.000000,264,174,,"B00647"
"B02794",2020-04-16 19:09:09.000000,2020-04-16 19:17:09.000000,264,177,,"B00446"
"B03015",2020-04-18 11:59:26.000000,2020-04-18 12:09:19.000000,264,216,,"B03015"
"B03080",2020-04-06 11:17:51.000000,2020-04-06 11:25:13.000000,,130,,"B03080"
"B00821",2020-04-27 17:41:10.000000,2020-04-27 17:46:10.000000,264,63,,"B00821"
"B02971",2020-04-07 07:57:50.000000,2020-04-07 08:02:58.000000,264,69,,"B02971"
"B00900",2020-04-19 13:37:34.000000,2020-04-19 13:54:11.000000,264,82,,"B00900"
"B02901",2020-04-22 07:44:27.000000,2020-04-22 07:58:02.000000,264,137,,"B02901"
"B02550",2020-04-04 09:49:44.000000,2020-04-04 10:10:50.000000,,244,,"B02851"
"B00448",2020-04-09 17:32:09.000000,2020-04-09 17:56:09.000000,,35,,"B00448"
"B01231",2020-04-24 17:30:48.000000,2020-04-24 17:36:35.000000,264,256,,"B02617"
"B02003",2020-04-30 22:39:28.000000,2020-04-30 22:43:37.000000,,,,"B02003"
"B02461",2020-04-01 18:40:22.000000,2020-04-01 18:50:44.000000,264,169,,"B02461"
"B01145",2020-04-24 16:48:39.000000,2020-04-24 16:56:18.000000,264,47,,"B02875"
"B00160",2020-04-01 07:13:00.000000,2020-04-01 07:29:00.000000,264,264,,"B00160"
"B01239",2020-04-21 09:22:44.000000,2020-04-21 09:37:01.000000,,174,,"B02882"
"B02437",2020-04-01 06:57:13.000000,2020-04-01 07:00:13.000000,264,119,,"B02437"
"B01312",2020-04-03 09:11:49.000000,2020-04-03 09:20:31.000000,264,49,,"B03226"
"B01148",2020-04-21 08:22:00.000000,2020-04-21 08:29:25.000000,264,17,,"B02877"
